"filename", "language", "TypeScript", "comment", "blank", "total"
"/mnt/material/Development Box/backend-project/authentication-backend/src/controllers/auth/auth.controller.ts", "TypeScript", 122, 2, 15, 139
"/mnt/material/Development Box/backend-project/authentication-backend/src/controllers/auth/index.ts", "TypeScript", 10, 0, 2, 12
"/mnt/material/Development Box/backend-project/authentication-backend/src/controllers/auth/password.auth.controller.ts", "TypeScript", 149, 5, 22, 176
"/mnt/material/Development Box/backend-project/authentication-backend/src/controllers/auth/security.auth.controller.ts", "TypeScript", 100, 5, 12, 117
"/mnt/material/Development Box/backend-project/authentication-backend/src/controllers/auth/session.auth.controller.ts", "TypeScript", 81, 1, 10, 92
"/mnt/material/Development Box/backend-project/authentication-backend/src/controllers/auth/verification.auth.controller.ts", "TypeScript", 0, 0, 1, 1
"/mnt/material/Development Box/backend-project/authentication-backend/src/controllers/user.controller.ts", "TypeScript", 0, 0, 1, 1
"/mnt/material/Development Box/backend-project/authentication-backend/src/interfaces/response.interface.ts", "TypeScript", 37, 0, 2, 39
"/mnt/material/Development Box/backend-project/authentication-backend/src/interfaces/user.interface.ts", "TypeScript", 9, 1, 0, 10
"/mnt/material/Development Box/backend-project/authentication-backend/src/middlewares/auth.middleware.ts", "TypeScript", 63, 0, 11, 74
"/mnt/material/Development Box/backend-project/authentication-backend/src/middlewares/error.middleware.ts", "TypeScript", 65, 5, 8, 78
"/mnt/material/Development Box/backend-project/authentication-backend/src/middlewares/logger.middleware.ts", "TypeScript", 16, 2, 4, 22
"/mnt/material/Development Box/backend-project/authentication-backend/src/middlewares/validation.middleware.ts", "TypeScript", 19, 0, 4, 23
"/mnt/material/Development Box/backend-project/authentication-backend/src/models/account.model.ts", "TypeScript", 45, 1, 7, 53
"/mnt/material/Development Box/backend-project/authentication-backend/src/models/audit-log.model.ts", "TypeScript", 47, 1, 4, 52
"/mnt/material/Development Box/backend-project/authentication-backend/src/models/index.ts", "TypeScript", 12, 0, 2, 14
"/mnt/material/Development Box/backend-project/authentication-backend/src/models/login-history.model.ts", "TypeScript", 55, 1, 4, 60
"/mnt/material/Development Box/backend-project/authentication-backend/src/models/loginSession.model.ts", "TypeScript", 48, 0, 6, 54
"/mnt/material/Development Box/backend-project/authentication-backend/src/models/password-reset-attempt.model.ts", "TypeScript", 33, 0, 5, 38
"/mnt/material/Development Box/backend-project/authentication-backend/src/models/user.model.ts", "TypeScript", 131, 4, 9, 144
"/mnt/material/Development Box/backend-project/authentication-backend/src/models/verification.model.ts", "TypeScript", 49, 0, 6, 55
"/mnt/material/Development Box/backend-project/authentication-backend/src/routes/auth.route.ts", "TypeScript", 56, 10, 18, 84
"/mnt/material/Development Box/backend-project/authentication-backend/src/routes/index.ts", "TypeScript", 5, 0, 4, 9
"/mnt/material/Development Box/backend-project/authentication-backend/src/server.ts", "TypeScript", 19, 4, 12, 35
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/2fa.service.ts", "TypeScript", 0, 0, 1, 1
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/auth/auth.service.ts", "TypeScript", 100, 3, 15, 118
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/auth/data-export.service.ts", "TypeScript", 81, 3, 12, 96
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/auth/data-retention.service.ts", "TypeScript", 40, 3, 8, 51
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/auth/index.ts", "TypeScript", 0, 0, 1, 1
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/auth/password.auth.service.ts", "TypeScript", 264, 36, 50, 350
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/auth/security.auth.service.ts", "TypeScript", 115, 2, 9, 126
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/auth/session.auth.service.ts", "TypeScript", 64, 0, 11, 75
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/auth/verification.auth.service.ts", "TypeScript", 0, 0, 1, 1
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/oauth.service.ts", "TypeScript", 0, 0, 1, 1
"/mnt/material/Development Box/backend-project/authentication-backend/src/services/user.service.ts", "TypeScript", 0, 0, 1, 1
"/mnt/material/Development Box/backend-project/authentication-backend/src/utils/email.util.ts", "TypeScript", 34, 0, 4, 38
"/mnt/material/Development Box/backend-project/authentication-backend/src/utils/password.util.ts", "TypeScript", 34, 5, 5, 44
"/mnt/material/Development Box/backend-project/authentication-backend/src/utils/token.util.ts", "TypeScript", 9, 0, 4, 13
"/mnt/material/Development Box/backend-project/authentication-backend/src/validations/auth.validation.ts", "TypeScript", 11, 0, 2, 13
"Total", "-", 1923, 94, 294, 2311
